Age,Income,Location,PropertyType,Ownership,ElectricityBill,PowerCuts,Awareness,EMI_Willingness,AdoptionLikelihood
45-54,<25k,Urban,Farm,Owned,<1k,Rare,Medium,1-3k,No
45-54,50k-1L,Urban,Apartment,Rented,3-6k,3-5/wk,Low,1-3k,No
Under25,50k-1L,Rural,Independent,Owned,6-10k,3-5/wk,Low,1-3k,12m
35-44,1L-2L,SemiUrban,Apartment,Rented,6-10k,1-2/wk,Medium,3-5k,Maybe
Under25,1L-2L,Urban,Industrial,Owned,6-10k,Rare,Medium,3-5k,6m
25-34,1L-2L,Urban,Independent,Owned,6-10k,1-2/wk,Medium,1-3k,6m
55+,25-50k,Urban,Independent,Owned,3-6k,1-2/wk,Medium,<1k,Maybe
Under25,25-50k,Rural,Commercial,Owned,1-3k,3-5/wk,Medium,<1k,6m
35-44,1L-2L,Urban,Apartment,Owned,6-10k,Rare,High,3-5k,12m
35-44,25-50k,Rural,Apartment,Owned,1-3k,3-5/wk,High,>5k,6m
45-54,<25k,SemiUrban,Independent,Leased,1-3k,Daily,Medium,<1k,Maybe
35-44,1L-2L,Urban,Independent,Rented,6-10k,Rare,High,<1k,Maybe
Under25,1L-2L,Rural,Apartment,Owned,6-10k,3-5/wk,High,3-5k,6m
25-34,25-50k,SemiUrban,Independent,Rented,3-6k,Rare,Medium,3-5k,6m
35-44,<25k,SemiUrban,Apartment,Rented,<1k,3-5/wk,Medium,1-3k,12m
Under25,25-50k,Rural,Apartment,Owned,3-6k,Daily,Low,<1k,No
25-34,1L-2L,Urban,Independent,Rented,>10k,Rare,High,>5k,12m
Under25,>2L,Urban,Farm,Owned,>10k,Rare,High,>5k,3m
Under25,25-50k,SemiUrban,Commercial,Owned,3-6k,Rare,Low,<1k,3m
25-34,<25k,Urban,Commercial,Owned,1-3k,Rare,Medium,3-5k,12m
Under25,1L-2L,Urban,Independent,Owned,>10k,Rare,Low,3-5k,6m
35-44,25-50k,Urban,Independent,Owned,1-3k,Daily,Low,<1k,Maybe
35-44,50k-1L,Urban,Apartment,Owned,6-10k,Rare,Low,1-3k,Maybe
45-54,>2L,Rural,Independent,Leased,6-10k,1-2/wk,High,>5k,6m
25-34,<25k,Urban,Farm,Leased,<1k,3-5/wk,Medium,1-3k,6m
25-34,50k-1L,SemiUrban,Independent,Rented,6-10k,1-2/wk,High,<1k,6m
Under25,<25k,SemiUrban,Apartment,Rented,<1k,1-2/wk,Low,>5k,No
35-44,25-50k,SemiUrban,Independent,Leased,1-3k,Rare,Medium,<1k,Maybe
45-54,1L-2L,Urban,Apartment,Owned,6-10k,Rare,High,3-5k,12m
Under25,25-50k,Rural,Independent,Owned,3-6k,Daily,Low,1-3k,12m
55+,>2L,Urban,Apartment,Owned,6-10k,Rare,High,1-3k,12m
Under25,50k-1L,Rural,Independent,Rented,3-6k,1-2/wk,Low,<1k,Maybe
35-44,25-50k,Rural,Industrial,Owned,3-6k,3-5/wk,Low,3-5k,6m
45-54,25-50k,SemiUrban,Independent,Rented,1-3k,Daily,Medium,1-3k,12m
45-54,25-50k,SemiUrban,Farm,Owned,1-3k,Rare,Medium,1-3k,No
45-54,25-50k,SemiUrban,Commercial,Owned,1-3k,1-2/wk,Low,1-3k,12m
45-54,<25k,Urban,Independent,Rented,1-3k,Daily,Low,1-3k,3m
25-34,25-50k,Rural,Commercial,Owned,1-3k,1-2/wk,Low,1-3k,Maybe
45-54,25-50k,Rural,Independent,Owned,1-3k,3-5/wk,Low,<1k,12m
Under25,50k-1L,Urban,Farm,Owned,6-10k,1-2/wk,Low,<1k,12m
45-54,50k-1L,SemiUrban,Apartment,Owned,6-10k,1-2/wk,Low,3-5k,No
35-44,50k-1L,Rural,Independent,Rented,6-10k,1-2/wk,Medium,1-3k,3m
45-54,<25k,Rural,Independent,Owned,<1k,1-2/wk,Medium,<1k,12m
35-44,25-50k,SemiUrban,Independent,Owned,3-6k,1-2/wk,Medium,3-5k,12m
35-44,50k-1L,SemiUrban,Farm,Owned,6-10k,Rare,Medium,1-3k,12m
35-44,25-50k,Urban,Independent,Rented,3-6k,Rare,Low,<1k,Maybe
45-54,<25k,Rural,Apartment,Owned,<1k,1-2/wk,Low,>5k,6m
Under25,1L-2L,Urban,Apartment,Owned,>10k,Rare,High,3-5k,6m
Under25,1L-2L,SemiUrban,Farm,Rented,>10k,Daily,Low,1-3k,6m
25-34,50k-1L,Urban,Independent,Owned,6-10k,Rare,Low,<1k,Maybe
25-34,<25k,Urban,Apartment,Rented,1-3k,Daily,Low,1-3k,No
45-54,1L-2L,SemiUrban,Apartment,Owned,>10k,Rare,High,3-5k,No
25-34,50k-1L,Rural,Commercial,Owned,3-6k,3-5/wk,Medium,<1k,Maybe
55+,1L-2L,Urban,Independent,Owned,6-10k,Rare,High,1-3k,No
25-34,1L-2L,SemiUrban,Independent,Leased,>10k,3-5/wk,High,1-3k,3m
25-34,1L-2L,Urban,Independent,Rented,>10k,1-2/wk,Medium,3-5k,6m
45-54,50k-1L,Urban,Commercial,Owned,6-10k,Rare,Low,<1k,3m
35-44,<25k,SemiUrban,Independent,Owned,<1k,Daily,Low,<1k,Maybe
35-44,50k-1L,SemiUrban,Apartment,Rented,3-6k,Rare,Low,1-3k,No
35-44,50k-1L,Urban,Independent,Rented,3-6k,1-2/wk,Low,1-3k,12m
45-54,50k-1L,Urban,Industrial,Rented,3-6k,Daily,Low,1-3k,12m
25-34,<25k,Urban,Farm,Owned,1-3k,3-5/wk,Low,<1k,Maybe
55+,<25k,Urban,Apartment,Rented,1-3k,Daily,Low,1-3k,No
55+,1L-2L,Rural,Independent,Owned,>10k,1-2/wk,Medium,1-3k,12m
35-44,50k-1L,Rural,Independent,Owned,6-10k,1-2/wk,High,>5k,No
25-34,>2L,Urban,Independent,Owned,6-10k,Rare,High,>5k,6m
35-44,1L-2L,SemiUrban,Independent,Leased,>10k,1-2/wk,High,1-3k,6m
Under25,50k-1L,Rural,Apartment,Owned,3-6k,Daily,Low,<1k,12m
Under25,50k-1L,Urban,Apartment,Owned,3-6k,Rare,Medium,1-3k,Maybe
25-34,1L-2L,Rural,Farm,Rented,>10k,3-5/wk,Medium,3-5k,3m
35-44,50k-1L,Rural,Independent,Owned,3-6k,1-2/wk,Low,1-3k,No
45-54,50k-1L,Urban,Apartment,Rented,3-6k,Rare,Low,3-5k,No
45-54,<25k,Urban,Apartment,Rented,1-3k,1-2/wk,High,1-3k,No
45-54,25-50k,Rural,Apartment,Owned,1-3k,3-5/wk,High,1-3k,6m
25-34,50k-1L,SemiUrban,Independent,Leased,3-6k,3-5/wk,Low,3-5k,12m
25-34,25-50k,Urban,Apartment,Rented,3-6k,Rare,Low,1-3k,Maybe
25-34,25-50k,Urban,Apartment,Rented,1-3k,1-2/wk,Medium,1-3k,3m
55+,25-50k,SemiUrban,Commercial,Rented,1-3k,Rare,Low,>5k,Maybe
Under25,25-50k,SemiUrban,Farm,Rented,3-6k,Rare,Low,<1k,6m
45-54,25-50k,SemiUrban,Independent,Owned,1-3k,1-2/wk,Low,<1k,6m
35-44,25-50k,Rural,Independent,Owned,3-6k,Daily,Medium,3-5k,Maybe
25-34,>2L,Urban,Apartment,Rented,6-10k,Rare,Medium,>5k,3m
45-54,50k-1L,SemiUrban,Apartment,Owned,3-6k,1-2/wk,Low,3-5k,No
35-44,<25k,SemiUrban,Independent,Owned,1-3k,1-2/wk,Low,<1k,Maybe
45-54,<25k,SemiUrban,Commercial,Rented,1-3k,Rare,Medium,1-3k,No
55+,50k-1L,Urban,Farm,Rented,3-6k,1-2/wk,High,<1k,6m
25-34,25-50k,Rural,Farm,Owned,3-6k,Daily,Low,1-3k,12m
25-34,1L-2L,Rural,Independent,Rented,6-10k,1-2/wk,High,1-3k,6m
35-44,50k-1L,SemiUrban,Industrial,Rented,6-10k,1-2/wk,High,<1k,Maybe
55+,1L-2L,SemiUrban,Commercial,Owned,6-10k,3-5/wk,High,<1k,6m
25-34,25-50k,Urban,Apartment,Rented,1-3k,Rare,Medium,1-3k,12m
35-44,50k-1L,SemiUrban,Apartment,Owned,3-6k,1-2/wk,Medium,<1k,No
35-44,25-50k,SemiUrban,Commercial,Owned,1-3k,Rare,High,<1k,Maybe
45-54,>2L,SemiUrban,Apartment,Owned,6-10k,1-2/wk,Low,3-5k,3m
Under25,50k-1L,Rural,Independent,Owned,6-10k,1-2/wk,Medium,<1k,6m
45-54,25-50k,SemiUrban,Apartment,Owned,3-6k,3-5/wk,High,3-5k,12m
55+,25-50k,Urban,Apartment,Rented,1-3k,Rare,Medium,<1k,12m
25-34,<25k,Rural,Independent,Rented,<1k,1-2/wk,High,<1k,Maybe
25-34,50k-1L,Urban,Farm,Owned,6-10k,1-2/wk,Medium,3-5k,3m
55+,25-50k,Urban,Apartment,Rented,3-6k,Rare,High,1-3k,Maybe
25-34,50k-1L,Urban,Apartment,Owned,6-10k,Rare,Medium,1-3k,Maybe
45-54,25-50k,SemiUrban,Independent,Owned,3-6k,1-2/wk,Medium,1-3k,Maybe
35-44,50k-1L,Rural,Apartment,Rented,6-10k,1-2/wk,Medium,3-5k,12m
25-34,1L-2L,SemiUrban,Independent,Owned,6-10k,Daily,High,1-3k,3m
45-54,1L-2L,Rural,Independent,Owned,6-10k,Daily,High,>5k,3m
25-34,1L-2L,SemiUrban,Apartment,Rented,>10k,Rare,High,>5k,6m
35-44,<25k,Urban,Apartment,Owned,1-3k,1-2/wk,Medium,1-3k,Maybe
25-34,<25k,Rural,Apartment,Rented,1-3k,3-5/wk,Low,1-3k,12m
35-44,50k-1L,Urban,Independent,Owned,6-10k,3-5/wk,Low,1-3k,Maybe
25-34,25-50k,Urban,Apartment,Owned,3-6k,Rare,High,<1k,6m
25-34,25-50k,SemiUrban,Independent,Owned,3-6k,1-2/wk,Medium,<1k,Maybe
55+,<25k,Urban,Farm,Owned,1-3k,Rare,Low,>5k,Maybe
25-34,25-50k,Urban,Apartment,Owned,3-6k,Rare,Low,1-3k,Maybe
35-44,<25k,SemiUrban,Apartment,Owned,1-3k,1-2/wk,High,<1k,No
25-34,1L-2L,SemiUrban,Independent,Rented,6-10k,Rare,High,3-5k,6m
45-54,25-50k,SemiUrban,Independent,Leased,3-6k,3-5/wk,High,1-3k,3m
Under25,50k-1L,Rural,Farm,Owned,6-10k,3-5/wk,Medium,<1k,12m
55+,<25k,SemiUrban,Independent,Owned,<1k,Daily,Low,1-3k,6m
35-44,50k-1L,Rural,Apartment,Owned,3-6k,1-2/wk,Low,1-3k,3m
25-34,25-50k,Urban,Apartment,Leased,1-3k,1-2/wk,Low,<1k,12m
Under25,1L-2L,SemiUrban,Independent,Leased,>10k,Daily,High,>5k,6m
25-34,1L-2L,Rural,Commercial,Owned,>10k,3-5/wk,Low,1-3k,12m
35-44,25-50k,SemiUrban,Apartment,Rented,3-6k,3-5/wk,Medium,1-3k,6m
25-34,>2L,SemiUrban,Independent,Owned,>10k,3-5/wk,High,1-3k,6m
45-54,>2L,Urban,Independent,Owned,6-10k,Rare,High,3-5k,12m
25-34,1L-2L,Urban,Independent,Owned,>10k,1-2/wk,High,1-3k,12m
25-34,1L-2L,SemiUrban,Industrial,Owned,>10k,Rare,Low,1-3k,Maybe
35-44,25-50k,Urban,Apartment,Owned,1-3k,Rare,Medium,3-5k,3m
45-54,50k-1L,Rural,Independent,Owned,6-10k,1-2/wk,Low,<1k,No
25-34,<25k,Urban,Independent,Rented,1-3k,1-2/wk,Low,1-3k,Maybe
25-34,<25k,Rural,Apartment,Owned,1-3k,3-5/wk,Medium,1-3k,Maybe
Under25,>2L,Rural,Apartment,Owned,>10k,3-5/wk,Low,>5k,6m
45-54,25-50k,Urban,Apartment,Owned,1-3k,Rare,Medium,1-3k,Maybe
35-44,50k-1L,Urban,Independent,Owned,3-6k,Daily,Medium,<1k,3m
35-44,1L-2L,Rural,Independent,Owned,6-10k,Rare,Low,<1k,Maybe
45-54,1L-2L,Rural,Apartment,Owned,6-10k,Rare,Low,>5k,6m
45-54,>2L,SemiUrban,Farm,Owned,>10k,Rare,High,>5k,6m
35-44,25-50k,Urban,Independent,Owned,3-6k,Daily,High,<1k,Maybe
45-54,<25k,SemiUrban,Apartment,Owned,1-3k,Daily,Medium,1-3k,No
25-34,25-50k,SemiUrban,Apartment,Owned,1-3k,1-2/wk,Medium,1-3k,12m
Under25,<25k,Urban,Apartment,Rented,<1k,3-5/wk,Medium,>5k,12m
25-34,<25k,SemiUrban,Independent,Rented,<1k,Rare,Medium,3-5k,No
Under25,25-50k,Urban,Commercial,Owned,3-6k,Daily,Low,>5k,6m
35-44,1L-2L,Urban,Apartment,Owned,>10k,Rare,High,>5k,12m
55+,50k-1L,Urban,Apartment,Owned,3-6k,Rare,Medium,3-5k,Maybe
Under25,25-50k,Urban,Independent,Owned,1-3k,Rare,Medium,<1k,No
Under25,50k-1L,Urban,Independent,Owned,6-10k,Rare,Medium,3-5k,12m
35-44,25-50k,SemiUrban,Independent,Owned,3-6k,3-5/wk,High,1-3k,Maybe
55+,<25k,Urban,Commercial,Owned,1-3k,Rare,Low,>5k,12m
25-34,1L-2L,Urban,Independent,Leased,6-10k,Daily,High,3-5k,12m
35-44,50k-1L,Urban,Apartment,Owned,3-6k,Rare,Medium,<1k,12m
Under25,1L-2L,Rural,Independent,Owned,6-10k,1-2/wk,High,3-5k,6m
Under25,<25k,SemiUrban,Apartment,Owned,<1k,1-2/wk,Low,1-3k,No
55+,1L-2L,SemiUrban,Apartment,Leased,>10k,1-2/wk,Medium,1-3k,12m
55+,50k-1L,SemiUrban,Independent,Rented,6-10k,3-5/wk,Medium,<1k,12m
Under25,50k-1L,Rural,Independent,Owned,6-10k,3-5/wk,Medium,1-3k,3m
55+,50k-1L,Urban,Independent,Rented,3-6k,Rare,Low,<1k,Maybe
35-44,1L-2L,SemiUrban,Apartment,Owned,>10k,Rare,High,1-3k,12m
45-54,50k-1L,SemiUrban,Apartment,Rented,6-10k,1-2/wk,Low,<1k,12m
35-44,50k-1L,SemiUrban,Independent,Rented,6-10k,Daily,High,3-5k,3m
35-44,>2L,Urban,Apartment,Owned,>10k,Rare,High,>5k,Maybe
35-44,1L-2L,SemiUrban,Independent,Rented,>10k,3-5/wk,Low,<1k,Maybe
35-44,25-50k,Urban,Independent,Owned,1-3k,Rare,High,1-3k,12m
Under25,50k-1L,SemiUrban,Independent,Owned,6-10k,Rare,High,1-3k,6m
Under25,25-50k,SemiUrban,Industrial,Owned,3-6k,Daily,Low,<1k,12m
25-34,25-50k,Urban,Independent,Rented,1-3k,Rare,Medium,<1k,No
45-54,50k-1L,Rural,Independent,Owned,3-6k,1-2/wk,Medium,1-3k,No
25-34,>2L,Urban,Independent,Owned,>10k,Rare,High,3-5k,12m
35-44,>2L,Rural,Independent,Rented,>10k,1-2/wk,Medium,>5k,6m
55+,25-50k,SemiUrban,Apartment,Owned,3-6k,3-5/wk,Low,1-3k,6m
Under25,50k-1L,Urban,Independent,Owned,6-10k,1-2/wk,Medium,<1k,6m
35-44,25-50k,Urban,Independent,Owned,1-3k,3-5/wk,Low,>5k,6m
25-34,>2L,Rural,Apartment,Owned,>10k,1-2/wk,High,1-3k,12m
45-54,>2L,Urban,Independent,Owned,6-10k,Rare,Medium,>5k,3m
25-34,50k-1L,Urban,Commercial,Owned,6-10k,Rare,Medium,<1k,Maybe
35-44,1L-2L,Urban,Apartment,Leased,>10k,Rare,High,1-3k,Maybe
45-54,50k-1L,SemiUrban,Independent,Rented,6-10k,Daily,Medium,1-3k,Maybe
55+,50k-1L,SemiUrban,Apartment,Owned,3-6k,1-2/wk,Medium,<1k,No
35-44,<25k,Urban,Independent,Owned,1-3k,Rare,High,1-3k,Maybe
35-44,25-50k,Urban,Apartment,Owned,3-6k,3-5/wk,High,<1k,Maybe
35-44,50k-1L,Urban,Apartment,Owned,3-6k,1-2/wk,Low,1-3k,12m
45-54,50k-1L,Urban,Independent,Owned,6-10k,Rare,Medium,1-3k,3m
35-44,25-50k,SemiUrban,Apartment,Owned,1-3k,3-5/wk,High,<1k,Maybe
Under25,>2L,SemiUrban,Industrial,Rented,>10k,1-2/wk,Medium,>5k,3m
55+,<25k,Urban,Farm,Owned,<1k,Rare,Low,<1k,No
35-44,50k-1L,Urban,Apartment,Owned,3-6k,Rare,Low,<1k,No
35-44,50k-1L,Urban,Apartment,Rented,3-6k,Rare,Low,1-3k,No
25-34,50k-1L,Rural,Independent,Rented,6-10k,3-5/wk,Medium,1-3k,3m
35-44,50k-1L,Rural,Independent,Owned,3-6k,1-2/wk,Medium,1-3k,No
25-34,25-50k,Rural,Apartment,Rented,1-3k,1-2/wk,High,<1k,3m
35-44,<25k,Urban,Independent,Owned,1-3k,1-2/wk,Medium,3-5k,No
Under25,50k-1L,Urban,Farm,Rented,3-6k,Daily,Low,1-3k,6m
35-44,50k-1L,Urban,Independent,Owned,6-10k,1-2/wk,Low,<1k,12m
55+,<25k,Urban,Independent,Rented,1-3k,Rare,High,<1k,12m
Under25,50k-1L,SemiUrban,Independent,Leased,3-6k,Rare,Low,3-5k,No
55+,25-50k,Rural,Commercial,Leased,1-3k,1-2/wk,Low,1-3k,Maybe
25-34,50k-1L,Rural,Apartment,Leased,6-10k,1-2/wk,High,<1k,6m
45-54,1L-2L,Rural,Apartment,Owned,6-10k,3-5/wk,High,1-3k,12m
45-54,<25k,Urban,Independent,Owned,<1k,1-2/wk,Low,<1k,12m
35-44,<25k,SemiUrban,Commercial,Owned,<1k,3-5/wk,High,1-3k,6m
45-54,1L-2L,Urban,Independent,Rented,6-10k,1-2/wk,High,>5k,12m
45-54,50k-1L,Urban,Industrial,Rented,6-10k,Rare,Low,1-3k,6m
25-34,50k-1L,SemiUrban,Apartment,Owned,6-10k,1-2/wk,High,1-3k,6m
25-34,1L-2L,Urban,Independent,Leased,6-10k,1-2/wk,Medium,>5k,Maybe
35-44,1L-2L,SemiUrban,Apartment,Rented,>10k,1-2/wk,High,3-5k,6m
45-54,>2L,Urban,Apartment,Leased,6-10k,Rare,High,3-5k,3m
45-54,50k-1L,SemiUrban,Independent,Rented,3-6k,1-2/wk,High,<1k,12m
45-54,25-50k,Rural,Industrial,Owned,1-3k,1-2/wk,Low,1-3k,Maybe
25-34,25-50k,Urban,Apartment,Owned,1-3k,Rare,Low,1-3k,Maybe
45-54,<25k,Rural,Independent,Owned,1-3k,Daily,Low,<1k,6m
Under25,50k-1L,Urban,Independent,Owned,3-6k,3-5/wk,Medium,>5k,Maybe
35-44,25-50k,SemiUrban,Apartment,Owned,3-6k,Rare,Low,3-5k,3m
Under25,>2L,SemiUrban,Apartment,Rented,6-10k,Rare,Medium,>5k,12m
25-34,50k-1L,SemiUrban,Apartment,Rented,6-10k,3-5/wk,Low,1-3k,6m
25-34,50k-1L,Rural,Apartment,Owned,6-10k,1-2/wk,Medium,1-3k,12m
25-34,25-50k,Urban,Apartment,Owned,3-6k,Rare,Low,<1k,No
35-44,<25k,SemiUrban,Farm,Owned,1-3k,Rare,High,<1k,Maybe
25-34,<25k,SemiUrban,Apartment,Owned,<1k,Rare,Low,1-3k,No
25-34,25-50k,Rural,Commercial,Owned,3-6k,Daily,Low,1-3k,6m
25-34,<25k,Urban,Independent,Owned,<1k,1-2/wk,High,3-5k,3m
25-34,50k-1L,Rural,Independent,Owned,6-10k,1-2/wk,Medium,<1k,6m
25-34,1L-2L,SemiUrban,Independent,Owned,>10k,1-2/wk,Medium,3-5k,6m
Under25,1L-2L,Urban,Apartment,Owned,>10k,Rare,Low,3-5k,6m
35-44,50k-1L,SemiUrban,Industrial,Owned,3-6k,Rare,Medium,1-3k,6m
35-44,25-50k,Urban,Independent,Owned,3-6k,Daily,Low,3-5k,12m
35-44,1L-2L,SemiUrban,Independent,Owned,6-10k,1-2/wk,High,>5k,6m
35-44,1L-2L,Rural,Industrial,Owned,6-10k,3-5/wk,Medium,1-3k,3m
25-34,<25k,SemiUrban,Independent,Leased,<1k,3-5/wk,Low,<1k,6m
45-54,50k-1L,SemiUrban,Apartment,Owned,6-10k,3-5/wk,Medium,<1k,Maybe
35-44,25-50k,SemiUrban,Apartment,Owned,3-6k,3-5/wk,Medium,1-3k,6m
35-44,1L-2L,Urban,Commercial,Rented,>10k,Rare,High,1-3k,Maybe
Under25,>2L,Urban,Independent,Owned,>10k,Rare,Low,>5k,12m
25-34,<25k,SemiUrban,Independent,Leased,1-3k,1-2/wk,Medium,1-3k,6m
25-34,1L-2L,Urban,Apartment,Owned,>10k,Rare,Low,3-5k,6m
25-34,50k-1L,Urban,Farm,Owned,6-10k,Daily,Medium,1-3k,6m
35-44,>2L,SemiUrban,Apartment,Owned,6-10k,1-2/wk,High,3-5k,No
35-44,25-50k,Urban,Independent,Owned,3-6k,Daily,Low,1-3k,6m
35-44,1L-2L,Urban,Apartment,Owned,6-10k,Rare,High,<1k,6m
45-54,<25k,SemiUrban,Farm,Owned,<1k,3-5/wk,Medium,1-3k,Maybe
45-54,25-50k,Urban,Commercial,Owned,3-6k,Rare,High,1-3k,No
45-54,<25k,Rural,Farm,Owned,1-3k,Daily,Medium,1-3k,12m
55+,>2L,Rural,Independent,Owned,6-10k,1-2/wk,Medium,>5k,12m
Under25,1L-2L,SemiUrban,Independent,Rented,6-10k,1-2/wk,Medium,>5k,12m
25-34,1L-2L,Urban,Apartment,Owned,>10k,1-2/wk,Medium,>5k,Maybe
Under25,>2L,Rural,Commercial,Owned,6-10k,3-5/wk,Medium,3-5k,6m
35-44,<25k,Rural,Independent,Owned,<1k,3-5/wk,Medium,1-3k,12m
45-54,25-50k,Rural,Independent,Rented,1-3k,Daily,Medium,<1k,No
25-34,<25k,Urban,Commercial,Owned,<1k,Rare,High,<1k,No
55+,25-50k,SemiUrban,Independent,Owned,3-6k,1-2/wk,Medium,<1k,6m
Under25,25-50k,Rural,Independent,Owned,3-6k,Rare,Medium,<1k,12m
55+,25-50k,SemiUrban,Apartment,Owned,1-3k,3-5/wk,High,<1k,Maybe
25-34,25-50k,SemiUrban,Apartment,Leased,1-3k,1-2/wk,High,1-3k,No
Under25,<25k,SemiUrban,Commercial,Rented,<1k,1-2/wk,Low,>5k,Maybe
35-44,<25k,SemiUrban,Independent,Owned,1-3k,Rare,Medium,<1k,Maybe
25-34,<25k,Urban,Apartment,Owned,1-3k,Rare,Low,3-5k,Maybe
25-34,>2L,SemiUrban,Apartment,Rented,6-10k,Rare,Medium,1-3k,12m
25-34,1L-2L,Urban,Apartment,Owned,6-10k,Rare,Medium,1-3k,12m
45-54,>2L,SemiUrban,Apartment,Leased,6-10k,1-2/wk,High,3-5k,3m
35-44,25-50k,Urban,Independent,Leased,3-6k,Rare,Medium,1-3k,No
25-34,25-50k,SemiUrban,Independent,Owned,1-3k,Rare,Medium,<1k,No
35-44,1L-2L,Urban,Independent,Leased,6-10k,1-2/wk,High,1-3k,12m
45-54,25-50k,SemiUrban,Independent,Owned,1-3k,Rare,Low,1-3k,12m
25-34,25-50k,Rural,Apartment,Rented,1-3k,1-2/wk,Medium,<1k,12m
25-34,25-50k,Urban,Commercial,Owned,1-3k,Rare,Medium,1-3k,Maybe
Under25,<25k,Urban,Commercial,Owned,1-3k,Rare,Low,1-3k,No
25-34,25-50k,Urban,Commercial,Owned,3-6k,1-2/wk,Medium,<1k,Maybe
35-44,25-50k,Rural,Independent,Rented,3-6k,3-5/wk,Low,3-5k,6m
25-34,50k-1L,SemiUrban,Apartment,Owned,3-6k,Rare,High,<1k,Maybe
35-44,<25k,SemiUrban,Independent,Owned,1-3k,Rare,Low,1-3k,No
45-54,25-50k,Urban,Independent,Owned,1-3k,Rare,Low,1-3k,3m
Under25,1L-2L,SemiUrban,Independent,Owned,>10k,1-2/wk,High,>5k,12m
35-44,<25k,Rural,Apartment,Owned,1-3k,Daily,Low,1-3k,Maybe
25-34,25-50k,Rural,Farm,Owned,1-3k,1-2/wk,Low,1-3k,Maybe
55+,1L-2L,SemiUrban,Independent,Owned,6-10k,Rare,Medium,1-3k,12m
35-44,<25k,Urban,Independent,Owned,<1k,Rare,Low,1-3k,Maybe
45-54,<25k,Urban,Commercial,Owned,1-3k,1-2/wk,Medium,1-3k,No
35-44,25-50k,Urban,Independent,Owned,1-3k,1-2/wk,Medium,1-3k,6m
Under25,25-50k,Urban,Commercial,Owned,3-6k,1-2/wk,Medium,3-5k,Maybe
35-44,50k-1L,Urban,Commercial,Leased,6-10k,3-5/wk,Medium,<1k,3m
55+,1L-2L,Urban,Farm,Owned,>10k,Rare,Medium,>5k,6m
35-44,<25k,Urban,Apartment,Leased,<1k,Rare,Low,3-5k,Maybe
45-54,50k-1L,Rural,Apartment,Rented,3-6k,1-2/wk,Medium,1-3k,12m
45-54,50k-1L,SemiUrban,Apartment,Owned,3-6k,1-2/wk,High,1-3k,No
25-34,<25k,Rural,Apartment,Owned,1-3k,3-5/wk,Low,<1k,No
25-34,50k-1L,SemiUrban,Apartment,Rented,6-10k,1-2/wk,Medium,>5k,6m
35-44,25-50k,Urban,Independent,Owned,1-3k,1-2/wk,Medium,<1k,Maybe
25-34,25-50k,SemiUrban,Apartment,Owned,3-6k,1-2/wk,Medium,1-3k,Maybe
45-54,<25k,Urban,Apartment,Rented,1-3k,3-5/wk,Medium,1-3k,Maybe
55+,25-50k,SemiUrban,Commercial,Owned,3-6k,1-2/wk,Low,3-5k,Maybe
25-34,25-50k,Urban,Commercial,Rented,1-3k,1-2/wk,Medium,1-3k,No
25-34,1L-2L,Rural,Apartment,Owned,>10k,1-2/wk,Low,3-5k,Maybe
45-54,<25k,Urban,Independent,Rented,1-3k,1-2/wk,Medium,<1k,No
25-34,25-50k,Urban,Commercial,Owned,1-3k,3-5/wk,High,<1k,12m
45-54,25-50k,Rural,Apartment,Owned,1-3k,1-2/wk,Medium,<1k,No
25-34,50k-1L,Urban,Industrial,Owned,3-6k,1-2/wk,Low,3-5k,No
35-44,50k-1L,SemiUrban,Farm,Owned,3-6k,3-5/wk,High,1-3k,12m
Under25,50k-1L,SemiUrban,Independent,Rented,3-6k,Rare,High,1-3k,Maybe
35-44,1L-2L,Rural,Commercial,Owned,6-10k,3-5/wk,High,3-5k,6m
35-44,1L-2L,Rural,Independent,Rented,>10k,1-2/wk,Medium,3-5k,6m
35-44,25-50k,Rural,Independent,Owned,3-6k,Daily,Low,<1k,6m
25-34,50k-1L,Urban,Apartment,Owned,6-10k,1-2/wk,High,<1k,6m
45-54,1L-2L,Rural,Independent,Owned,>10k,1-2/wk,High,1-3k,Maybe
45-54,>2L,SemiUrban,Commercial,Owned,6-10k,Rare,High,>5k,Maybe
25-34,1L-2L,SemiUrban,Independent,Owned,>10k,1-2/wk,Medium,1-3k,3m
Under25,25-50k,Urban,Independent,Owned,1-3k,Rare,Low,1-3k,No
Under25,<25k,SemiUrban,Apartment,Rented,<1k,Rare,High,1-3k,No
35-44,25-50k,Rural,Commercial,Rented,3-6k,3-5/wk,Medium,1-3k,Maybe
35-44,50k-1L,Rural,Farm,Owned,6-10k,1-2/wk,Low,<1k,3m
35-44,25-50k,SemiUrban,Commercial,Owned,1-3k,Rare,Low,<1k,Maybe
25-34,25-50k,Urban,Apartment,Owned,1-3k,1-2/wk,Medium,<1k,No
25-34,1L-2L,Urban,Independent,Owned,6-10k,3-5/wk,Low,3-5k,6m
35-44,25-50k,Rural,Independent,Owned,1-3k,Daily,Medium,<1k,12m
35-44,1L-2L,SemiUrban,Independent,Owned,>10k,3-5/wk,Medium,>5k,Maybe
55+,25-50k,SemiUrban,Apartment,Leased,1-3k,Rare,Medium,1-3k,Maybe
Under25,25-50k,Urban,Apartment,Rented,3-6k,Rare,Low,<1k,No
35-44,25-50k,SemiUrban,Apartment,Owned,1-3k,Rare,High,1-3k,12m
